ts;externalTemperature;humidity;light;motion;temperature;vdd
1596506809407;19.2;55;1;3;21.1;3561
1596507108384;19.2;55;1;2;21.1;3559
1596507410149;19.2;54;1;3;21.1;3561
1596507709784;19.4;54;1;2;21.1;3559
1596508014458;19.2;54;1;3;21.1;3559
1596508308965;19.3;54;2;2;21.1;3559
1596508610652;19.3;54;2;3;21.1;3561
1596508909271;19.2;55;2;2;21.1;3559
1596509209146;19.3;54;2;3;21.1;3561
1596509509766;19.2;54;3;2;21;3561
1596509808822;19.3;54;3;3;21.1;3559
1596510109247;19.2;54;3;2;21.1;3561
1596510409398;19.1;54;3;3;21.1;3559
1596510708804;19.2;54;4;2;21.1;3559
1596511009427;19.4;54;4;3;21.1;3559
1596511308257;19.3;54;4;2;21;3561
1596511608759;19.2;54;5;3;21.1;3561
1596511908818;19.3;54;5;2;21.1;3561
1596512208384;19.3;54;5;3;21.1;3561
1596512509583;19.3;54;5;2;21.1;3559
1596512809648;19.4;54;5;3;21.1;3559
1596513108862;19.5;54;6;2;21.1;3559
1596513409310;19.4;54;6;3;21.1;3561
1596513708998;19.3;54;6;2;21.1;3559
1596514009630;19.4;54;6;3;21.1;3561
1596514308517;19.3;54;7;2;21.1;3559
1596514607618;19.4;54;7;3;21.1;3561
1596514909250;19.3;54;7;2;21.2;3561
1596515209325;19.3;54;8;3;21.1;3559
1596515507618;19.4;54;8;2;21.2;3559
1596515807538;19.4;54;8;3;21.1;3561
1596516110620;19.5;54;9;2;21.2;3561
1596516407442;19.3;54;9;3;21.1;3561
1596516707419;19.5;54;9;2;21.2;3559
1596517010548;19.3;54;10;3;21.1;3559
1596517310825;19.4;54;10;2;21.1;3559
1596517607559;19.5;54;10;3;21.1;3559
1596517911004;19.5;54;11;2;21.1;3561
1596518209222;19.4;54;11;3;21.2;3559
1596518509662;19.6;54;11;2;21.1;3561
1596518808899;19.6;54;12;3;21.2;3561
1596519110933;19.5;54;12;2;21.2;3559
1596519407386;19.5;54;12;3;21.2;3559
1596519709850;19.5;54;13;2;21.2;3561
1596520012883;19.5;54;14;3;21.2;3561
1596520307923;19.6;54;15;2;21.2;3559
1596520607921;19.5;54;15;3;21.2;3561
1596520909313;19.7;54;16;2;21.2;3559
1596521211002;19.5;54;17;3;21.2;3559
1596521509334;19.5;54;17;2;21.2;3559
1596521808574;19.6;54;18;3;21.2;3559
1596522109238;19.6;54;18;2;21.3;3561
1596522407245;19.6;54;19;3;21.3;3559
1596522720429;19.6;54;19;2;21.3;3561
1596523011909;19.6;54;19;3;21.2;3561
1596523307180;19.6;54;19;2;21.2;3561
1596523608537;19.6;54;19;3;21.3;3561
1596523907029;19.6;54;19;2;21.3;3561
1596524208038;19.6;54;20;3;21.3;3561
1596524508407;19.7;54;21;2;21.3;3561
1596524809112;19.7;54;21;3;21.3;3561
1596525106989;19.7;54;22;2;21.3;3561
1596525408783;19.8;54;19;3;21.4;3561
1596525707965;19.7;54;23;2;21.3;3561
1596526026240;19.8;54;24;3;21.4;3561
1596526308626;19.7;54;22;2;21.4;3561
1596526606827;19.8;54;18;3;21.3;3561
1596526910880;19.9;54;21;2;21.4;3561
1596527209661;19.9;54;24;3;21.4;3561
1596527510370;20;54;26;2;21.4;3561
1596527807351;20.1;54;28;3;21.4;3561
1596528108567;19.9;54;27;2;21.4;3561
1596528408127;19.9;54;25;3;21.4;3561
1596528707417;20.1;54;25;2;21.5;3564
1596529008803;20;54;20;3;21.5;3564
1596529306722;20;54;21;2;21.4;3564
1596529607603;20.1;54;24;3;21.5;3561
1596529908067;20.1;54;25;2;21.5;3561
1596530207583;20;54;23;3;21.5;3561
1596530508154;20.2;54;29;2;21.5;3561
1596530806592;20.1;54;33;3;21.5;3564
1596531108516;20;54;30;2;21.5;3561
1596531409405;20;54;29;3;21.5;3561
1596531708385;20.1;54;29;2;21.5;3564
1596532007908;20.2;54;30;3;21.5;3561
1596532308390;20;54;33;2;21.5;3561
1596532610128;20.2;54;17;3;21.6;3561
1596532908376;20.1;54;35;2;21.5;3564
1596533209550;20.2;54;35;3;21.6;3561
1596533506404;20.1;54;29;2;21.5;3561
1596533809330;20.2;54;25;3;21.6;3561
1596534107782;20.3;54;22;2;21.6;3564
1596534408943;20.2;54;25;3;21.6;3561
1596534707211;20.2;54;27;2;21.6;3564
1596535008462;20.2;54;29;3;21.6;3561
1596535306236;20.3;54;31;2;21.6;3564
1596535607012;20.3;54;31;3;21.6;3561
1596535906226;20.4;54;32;2;21.6;3564
1596536206625;20.3;54;31;3;21.6;3561
1596536507711;20.3;54;24;2;21.7;3561
1596536809185;20.4;54;34;3;21.7;3564
1596537125474;20.3;54;36;2;21.7;3564
1596537406301;20.4;54;32;3;21.7;3564
1596537706167;20.5;54;35;2;21.7;3564
1596538011248;20.5;54;28;3;21.7;3564
1596538307505;20.4;54;33;2;21.6;3564
1596538607725;20.4;54;30;3;21.7;3561
1596538906134;20.5;54;14;2;21.7;3564
1596539208326;20.4;54;24;3;21.7;3564
1596539508423;20.4;54;24;2;21.7;3564
1596539807821;20.6;54;27;3;21.8;3564
1596540107518;20.4;54;25;2;21.7;3564
1596540405962;20.5;54;23;3;21.7;3564
1596540707522;20.4;54;22;2;21.7;3561
1596541005472;20.3;54;21;3;21.7;3564
1596541307764;20.4;54;19;2;21.8;3564
1596541606184;20.4;54;19;3;21.7;3564
1596541906065;20.4;54;18;2;21.8;3564
1596542206753;20.4;54;20;3;21.7;3561
1596542505855;20.3;54;22;2;21.8;3564
1596542806158;20.4;54;19;3;21.7;3564
1596543107982;20.3;54;21;2;21.7;3564
1596543409684;20.4;54;20;3;21.8;3564
1596543708959;20.2;54;20;2;21.7;3564
1596544014071;20.4;54;18;3;21.8;3564
1596544305587;20.4;54;18;2;21.8;3564
1596544607213;20.2;54;18;3;21.8;3564
1596544906385;20.3;54;20;2;21.8;3564
1596545206069;20.3;54;18;3;21.8;3564
1596545506196;20.3;54;20;2;21.8;3564
1596545806755;20.3;54;19;3;21.8;3564
1596546106505;20.3;54;20;2;21.8;3564
1596546406500;20.3;54;20;3;21.8;3564
1596546705945;20.4;54;23;2;21.7;3564
1596547019460;20.4;54;23;3;21.8;3564
1596547306714;20.3;54;22;2;21.8;3564
1596547606537;20.4;54;23;3;21.7;3561
1596547905110;20.4;54;24;2;21.8;3564
1596548207423;20.3;54;26;3;21.8;3564
1596548505584;20.4;54;27;2;21.8;3564
1596548807881;20.3;54;30;3;21.8;3564
1596549105734;20.4;54;39;2;21.8;3564
1596549406136;20.5;54;48;3;21.8;3564
1596549706910;20.5;54;39;2;21.8;3564
1596550006793;20.5;54;65;3;21.8;3564
1596550306103;20.7;54;88;2;21.9;3564
1596550605421;20.6;54;74;3;21.8;3561
1596550905460;20.8;54;107;2;21.9;3564
1596551207029;20.8;54;79;3;21.8;3564
1596551507322;20.9;54;78;2;21.9;3564
1596551805930;21;54;130;3;21.9;3564
1596552105715;21;54;143;2;21.9;3564
1596552406802;21.1;54;142;3;22;3564
1596552705984;21.2;54;122;2;22;3564
1596553008105;21.1;54;93;3;21.9;3564
1596553305201;21;54;52;2;22;3564
1596553606583;20.9;54;31;3;22;3564
1596553905643;20.9;54;19;2;22;3564
1596554206686;20.9;54;7;3;22;3564
1596554505333;20.7;54;6;2;22;3564
1596554806596;20.7;54;7;3;22;3564
1596555105793;20.6;54;7;2;21.9;3564
1596555407779;20.7;54;9;3;22;3564
1596555704750;20.7;54;17;2;22;3564
1596556007618;20.6;54;14;3;22;3564
1596556305534;20.5;54;9;2;22;3564
1596556605157;20.6;54;6;3;21.9;3564
1596556904209;20.6;54;6;2;21.9;3564
1596557205923;20.7;54;10;3;21.9;3564
1596557507077;20.5;54;4;2;21.9;3564
1596557806349;20.5;54;4;3;21.9;3564
1596558106058;20.5;54;3;2;21.9;3564
1596558404645;20.4;54;3;3;21.9;3564
1596558704134;20.5;54;2;2;21.9;3564
1596559008042;20.4;54;2;3;21.9;3564
1596559305449;20.5;54;2;2;21.9;3564
1596559605184;20.4;54;1;3;21.9;3564
1596559905419;20.4;54;1;2;21.9;3564
1596560205915;20.3;54;1;3;21.9;3564
1596560507289;20.3;54;1;2;21.9;3564
1596560804660;20.3;54;1;3;21.9;3564
1596561105790;20.3;54;1;2;21.8;3564
1596561406140;20.2;54;1;3;21.8;3564
1596561705423;20.2;54;0;2;21.8;3564
1596562006269;20.3;54;0;3;21.8;3564
1596562313258;20.2;54;0;2;21.8;3564
1596562605473;20.1;54;0;3;21.8;3564
1596562904649;20.1;54;1;2;21.8;3564
1596563204014;20;54;0;3;21.8;3564
1596563507677;19.9;54;0;2;21.8;3564
1596563805114;19.9;54;0;3;21.7;3564
