ts;tr;tm
1591907755;22.5;22.5
1591908055;22.5;22.4
1591908355;22.5;22.4
1591908655;22.5;22.2
1591908955;22.5;22.0
1591909255;22.4;22.1
1591909555;22.5;22.2
1591909855;22.5;22.0
1591910155;22.5;22.1
1591910455;22.5;22.2
1591910755;22.5;22.1
1591911355;22.5;22.0
1591911655;22.5;21.9
1591911955;22.4;21.8
1591912255;22.4;22.0
1591912555;22.4;22.1
1591912855;22.4;22.0
1591913155;22.4;22.0
1591913455;22.5;22.0
1591913755;22.4;22.0
1591914055;22.4;22.0
1591914655;22.4;21.9
1591914955;22.4;22.2
1591915255;22.4;22.1
1591915555;22.3;22.0
1591916155;22.3;21.9
1591916455;22.4;21.8
1591916755;22.3;21.4
1591917055;22.3;21.5
1591917355;22.3;21.5
1591917655;22.3;21.6
1591917955;22.3;21.9
1591918555;22.3;21.6
1591918855;22.3;21.5
1591919455;22.3;21.4
1591919755;22.3;21.2
1591920055;22.3;21.2
1591920655;22.3;20.9
1591920955;22.3;20.7
1591921555;22.3;20.8
1591921855;22.3;20.8
1591922155;22.2;20.7
1591922455;22.3;20.4
1591922755;22.3;20.4
1591923055;22.2;20.6
1591923355;22.2;20.5
1591923655;22.3;20.3
1591923955;22.2;20.4
1591924255;22.2;20.4
1591924555;22.3;20.4
1591924855;22.2;20.3
1591925154;22.2;20.2
1591925454;22.2;20.2
1591926054;22.3;20.3
1591926354;22.2;20.2
1591926654;22.2;20.4
1591926954;22.2;20.4
1591927254;22.4;20.3
1591927554;22.3;20.4
1591927854;22.4;20.3
1591929054;22.6;20.4
1591929354;22.7;20.5
1591929654;22.7;20.5
1591929954;22.7;20.6
1591930254;22.8;20.7
1591930554;22.9;20.8
1591930854;22.9;20.9
1591931154;23.0;20.9
1591931454;23.1;21.2
1591931754;23.1;21.3
1591932054;23.2;21.0
1591932354;23.3;21.3
1591932954;23.4;21.4
1591933254;23.4;21.3
1591933554;23.5;21.5
1591933854;23.6;21.6
1591934154;23.6;21.7
1591934454;23.7;21.8
1591934754;23.7;22.1
1591935054;23.8;22.1
1591935354;23.8;22.3
1591935654;23.8;21.8
1591935954;23.9;22.2
1591936254;23.8;22.9
1591936554;23.9;22.2
1591936854;23.9;22.5
1591937154;24.0;23.1
1591937454;24.0;23.1
1591937754;24.0;22.9
1591938054;24.0;22.9
1591938354;24.0;23.2
1591938654;24.0;22.9
1591938954;24.1;22.7
1591939254;24.0;22.7
1591939554;24.0;23.3
1591939854;24.0;23.2
1591940154;24.0;23.2
1591940454;24.1;23.0
1591940754;24.0;23.2
1591941054;24.1;23.5
