ts;humidity;light;motion;temperature;vdd
1593661653797;54;12;0;22.7;3530
1593661953995;54;13;0;22.8;3530
1593662252955;54;11;0;22.7;3530
1593662552547;54;10;0;22.8;3530
1593662853691;54;13;0;22.7;3530
1593663153461;54;20;0;22.8;3530
1593663453511;54;18;0;22.7;3530
1593663754862;54;18;0;22.7;3530
1593664053690;54;20;0;22.8;3530
1593664354843;54;16;0;22.8;3528
1593664653119;54;13;0;22.8;3530
1593664955775;54;16;0;22.8;3530
1593665253043;54;24;0;22.8;3530
1593665553231;54;26;0;22.8;3530
1593665855497;54;27;0;22.8;3533
1593666152832;54;24;0;22.8;3530
1593666455091;54;26;0;22.8;3530
1593666754241;54;25;0;22.8;3530
1593667055586;54;28;0;22.8;3530
1593667353683;54;28;0;22.8;3530
1593667654508;54;26;0;22.9;3530
1593667953035;54;35;0;22.8;3530
1593668254855;54;48;0;22.8;3530
1593668555696;54;32;0;22.8;3530
1593668853858;54;44;0;22.8;3530
1593669155917;54;49;0;22.9;3530
1593669452771;54;45;0;22.8;3530
1593669755291;54;29;0;22.9;3530
1593670053167;54;41;0;22.9;3530
1593670353763;54;36;0;22.9;3530
1593670652835;54;53;0;22.9;3530
1593670956569;54;42;0;22.9;3530
1593671253207;54;36;0;22.9;3530
1593671553303;54;50;0;22.9;3530
1593671858666;54;43;0;23;3530
1593672152247;54;39;0;22.9;3530
1593672454186;54;39;0;23;3530
1593672752543;54;63;0;22.9;3530
1593673054145;54;41;0;23;3530
1593673354397;54;45;0;23;3530
1593673655491;54;47;0;23;3530
1593673952983;54;38;0;23;3530
1593674252979;55;36;0;23;3530
1593674553919;55;39;0;23;3530
1593674856783;55;26;0;23.1;3530
1593675152832;55;30;0;23;3530
1593675453487;55;45;0;23;3530
1593675752455;55;45;0;23.1;3530
1593676052959;55;54;0;23;3530
1593676352547;55;53;0;23.1;3530
1593676653043;55;44;0;23.1;3530
1593676954831;55;28;0;23.1;3533
1593677252831;55;42;0;23.1;3530
1593677554895;55;47;0;23.1;3530
1593677852819;55;55;0;23.1;3530
1593678153391;55;47;0;23.1;3530
1593678452407;55;39;0;23.1;3533
1593678752832;55;35;0;23.1;3530
